Product,cannabinoids,C/pc,C/eur,total_C_mg,total_C_per_eur,pcs,mass,price_eur,note,URL
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 30 pcs x 5 mg, 150 g",THC+ 150 mg,THC+ 5 mg,THC+ 6.27 mg/€,150,6.27,30,150 g,23.93,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-strawberry-bath-jellies-30-pcs-x-5-mg-150-g
"Cannastra THC+ Astro Bears Strawberry Bath Jellies, 10 pcs x 5 mg, 50 g",THC+ 50 mg,THC+ 5 mg,THC+ 4.25 mg/€,50,4.25,10,50 g,11.76,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-strawberry-bath-jellies-10-pcs-x-5-mg-50-g
"Cannastra THC+ Astro Bears Orange Bath Jellies, 10 pcs x 5 mg, 50 g",THC+ 50 mg,THC+ 5 mg,THC+ 4.25 mg/€,50,4.25,10,50 g,11.76,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-orange-bath-jellies-10-pcs-x-5-mg-50-g
"Cannastra THC+ Astro Bears Orange Bath Jellies, 30 pcs x 5 mg, 150 g",THC+ 150 mg,THC+ 5 mg,THC+ 6.27 mg/€,150,6.27,30,150 g,23.93,Bath jellies (not edible). Declared THC+ only,https://www.canatura.com/p/cannastra-thc-astro-bears-orange-bath-jellies-10-pcs-x-5-mg-50-g-1
"Czech CBD THC Odyssey chocolate, 40 mg THC",THC 40 mg,THC 40 mg,THC 7.38 mg/€,40,7.38,1,35 g,5.42,,https://www.canatura.com/p/czech-cbd-thc-odyssey-chocolate-40-mg-thc
"Czech CBD THC MouthFresh Strawberry, 40 mg THC, 40 ml",THC 40 mg | CBG 100 mg,THC 40 mg | CBG 100 mg,THC 6.9 mg/€ | CBG 17.24 mg/€,140,24.14,1,40 ml,5.8,Cosmetics / oral spray. Title omits 100 mg CBG,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-strawberry-40-mg-thc-40-ml
"Czech CBD THC MouthFresh Raspberry, 40 mg THC, 40 ml",THC 40 mg | CBG 100 mg,THC 40 mg | CBG 100 mg,THC 6.9 mg/€ | CBG 17.24 mg/€,140,24.14,1,40 ml,5.8,Cosmetics / oral spray. Title omits 100 mg CBG,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-raspberry-40-mg-thc-40-ml
"Czech CBD THC MouthFresh Orange, 40 mg THC, 40 ml",THC 40 mg | CBG 100 mg,THC 40 mg | CBG 100 mg,THC 6.9 mg/€ | CBG 17.24 mg/€,140,24.14,1,40 ml,5.8,Cosmetics / oral spray. Title omits 100 mg CBG,https://www.canatura.com/p/czech-cbd-thc-mouthfresh-orange-40-mg-thc-40-ml
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 30 ml, 55 mg THC",THC 55 mg,THC 55 mg,THC 6.16 mg/€,55,6.16,1,30 ml,8.93,,https://www.canatura.com/p/czech-cbd-hydrophilic-thc-water-soluble-up-to-0-2-30-ml-55-mg-thc
"Czech CBD Hydrophilic THC water soluble up to 0,2%, 1000 ml, 1800 mg THC",THC 1800 mg,THC 1800 mg,THC 22.3 mg/€,1800,22.3,1,1000 ml,80.72,,https://www.canatura.com/p/czech-cbd-hydrophilic-thc-water-soluble-up-to-0-2-1000-ml-1800-mg-thc
